block,item,value,unit,status,source_or_reference,role
APF source,m_t^MSR(R_star),168.169055793800,GeV,closed inherited,APF v37/v58,short-distance top source object
APF source,R_star,85.857222698385,GeV,closed inherited,APF v37 scale selector,MSR low scale
QCD input,alpha_s(M_Z),0.118000000000,dimensionless,declared external input,PDG 2025 QCD world average used in v58,running coupling anchor
QCD input,sigma_alpha_s(M_Z),0.000900000000,dimensionless,declared external covariance,PDG 2025 QCD uncertainty used in v58,coupling covariance
QCD input,M_Z,91.187600,GeV,declared external input,electroweak reference scale convention,alpha_s reference scale
flavour scheme,n_f between R_star and M_Z,5,count,declared convention,five-flavor QCD below top threshold,running and conversion convention
color factors,C_F,1.333333333333,dimensionless,closed,SU(3) fundamental color factor,mass conversion coefficient
color factors,C_A,3.000000000000,dimensionless,closed,SU(3) adjoint color factor,higher-loop coefficient input
color factors,T_F,0.500000000000,dimensionless,closed,SU(3) trace normalization,higher-loop coefficient input
beta coefficients,beta_0,7.666666666667,dimensionless,numeric in ledger,MSbar QCD beta function,one-loop running
beta coefficients,beta_1,38.666666666667,dimensionless,numeric in ledger,MSbar QCD beta function,two-loop running
beta coefficients,"beta_2,beta_3,beta_4",source formula required,dimensionless,source named; not hardcoded,"RunDec/CRunDec v3, PDG QCD review",3--5 loop alpha_s running
mass anomalous dimension,gamma_m^0..gamma_m^4,source formula required,dimensionless,source named; not hardcoded,RunDec/CRunDec v3 / QCD literature,MSbar mass running
MSR coefficients,delta_MSR coefficients a_1..a_4,source formula required,dimensionless,source named; not hardcoded,Hoang et al. MSR mass/R-evolution paper,MSR-to-pole short-distance series
R-evolution,gamma_R coefficients,source formula required,dimensionless,source named; not hardcoded,Hoang et al. MSR mass/R-evolution paper,R-scale evolution of MSR mass
on-shell/MSbar,OS-MSbar coefficients through four loops,source formula required,dimensionless,source named; not hardcoded,Marquard et al. four-loop quark mass relations / RunDec v3,pole-to-MSbar and MSbar-to-pole conversion
decoupling,"zeta_g,zeta_m threshold matching",source formula required,dimensionless,source named; not hardcoded,RunDec/CRunDec v3; four-loop decoupling literature,threshold matching and active-flavour changes
top audit,PDG direct top average,172.560000000000,GeV,audit-only comparator,PDG 2025 top listing used in v58,MC/pole-proxy comparison; never input
top audit,PDG direct top uncertainty,0.310000000000,GeV,audit-only covariance,PDG 2025 top listing used in v58,external audit uncertainty
ambiguity,pole renormalon ambiguity,O(Lambda_QCD) boundary,GeV scale,boundary declared,MSR mass/R-evolution literature and top mass reviews,prevents exact pole-final claim
MC boundary,MC mass mapping,phenomenological boundary,GeV,not a field-theoretic equality,PDG top mass-definition discussion,prevents MC equality claim
