relation_id,relation_class,expression,required_inputs,output_objects,pv_or_tensor_dependencies,import_status,numeric_status,admits_as_formula,source_anchor
R_OS_MASS_CT_W,ON_SHELL_MASS_COUNTERTERM,delta M_W^2 = Re Sigma_T^W(M_W^2),"('Sigma_T^W', 'M_W')","('delta_MW2',)","('A0', 'B0', 'B00')",REVIEWED_RELATION_IMPORTED,NEEDS_SELF_ENERGY_NUMERIC_COEFFICIENTS,True,Denner on-shell mass renormalization relation
R_OS_MASS_CT_Z,ON_SHELL_MASS_COUNTERTERM,delta M_Z^2 = Re Sigma_T^Z(M_Z^2),"('Sigma_T^Z', 'M_Z')","('delta_MZ2',)","('A0', 'B0', 'B00')",REVIEWED_RELATION_IMPORTED,NEEDS_SELF_ENERGY_NUMERIC_COEFFICIENTS,True,Denner on-shell mass renormalization relation
R_WEAK_ANGLE_CT,ON_SHELL_WEAK_ANGLE_COUNTERTERM,delta s_W/s_W = -(c_W^2/(2 s_W^2))*(delta M_W^2/M_W^2 - delta M_Z^2/M_Z^2),"('delta_MW2', 'delta_MZ2', 'M_W', 'M_Z')","('delta_sW_over_sW',)","('A0', 'B0', 'B00')",REVIEWED_RELATION_IMPORTED,COMPOSITE_NEEDS_MASS_CTS,True,Denner on-shell weak-mixing-angle counterterm relation
R_CHARGE_CT_ALPHA0,WARD_CHARGE_RENORMALIZATION,delta Z_e|alpha(0) = -1/2 Re[delta Z_AA + (s_W/c_W) delta Z_ZA],"('delta_Z_AA', 'delta_Z_ZA', 's_W', 'c_W')","('delta_Z_e_alpha0',)","('B0_prime', 'B1')",REVIEWED_RELATION_IMPORTED,NEEDS_NEUTRAL_FIELD_RENORM_NUMERIC_COEFFICIENTS,True,Denner charge-renormalization Ward relation
R_FIELD_AA,FIELD_RENORMALIZATION,delta Z_AA = - Re d Sigma_T^AA(k^2)/dk^2 | k^2=0,"('Sigma_T^AA_prime_0',)","('delta_Z_AA',)","('B0_prime',)",REVIEWED_RELATION_IMPORTED,NEEDS_PHOTON_SELF_ENERGY_DERIVATIVE,True,Neutral gauge-field wave-function counterterm relation
R_FIELD_ZA,FIELD_MIXING_RENORMALIZATION,delta Z_ZA = 2 Sigma_T^AZ(0)/M_Z^2,"('Sigma_T^AZ_0', 'M_Z')","('delta_Z_ZA',)","('B0', 'B00')",REVIEWED_RELATION_IMPORTED,NEEDS_GAMMA_Z_MIXING_NUMERIC_COEFFICIENTS,True,Neutral gauge-field mixing counterterm relation
R_DELTA_ALPHA_ROW,RUNNING_ALPHA_INPUT_ROW,Delta r_DeltaAlpha = Delta alpha admitted at same-input route point,"('DeltaAlpha_had5', 'leptonic_vacuum_polarization')","('Delta_r_DeltaAlpha',)","('B0_prime_gamma_gamma_0',)",REVIEWED_INPUT_ROW_IMPORTED_EVALUATED,EVALUATED,True,DIZET same-input diagnostic and standard running-alpha convention
R_RHO_LEAD_ROW,LEADING_TOP_RHO_ROW,Delta r_rho_lead = -(c_W^2/s_W^2) * 3 G_F m_t^2/(8 sqrt(2) pi^2),"('G_F', 'm_t', 'M_W', 'M_Z')","('Delta_r_rho_lead',)","('A0_top_asymptotic', 'B0_tb_asymptotic')",REVIEWED_ANALYTIC_ROW_IMPORTED_EVALUATED,EVALUATED,True,Sirlin/Denner leading top-rho structure
R_VERTEX_FAMILY,MUON_DECAY_VERTEX_FINITE_RELATION,Delta r_vertex = finite one-loop muon-decay vertex correction after OS subtraction,"('vertex_amplitudes', 'external_leg_convention')","('Delta_r_vertex',)","('B0', 'C0', 'C_tensor')",RELATION_SLOT_IMPORTED,NEEDS_VERTEX_NUMERIC_COEFFICIENTS,True,Sirlin/Denner muon-decay vertex family
R_BOX_FAMILY,MUON_DECAY_BOX_FINITE_RELATION,Delta r_box = finite one-loop muon-decay box correction after matching to Fermi theory,"('box_amplitudes', 'Fermi_matching_convention')","('Delta_r_box',)","('C0', 'D0', 'D_tensor')",RELATION_SLOT_IMPORTED,NEEDS_BOX_NUMERIC_COEFFICIENTS,True,Sirlin/Denner muon-decay box family
R_TAD_GHOST_GAUGE,GAUGE_CANCELLATION_RELATION,Delta r_gauge_restoring = tadpole + ghost + gauge-parameter-cancelling finite terms,"('tadpole_convention', 'gauge_fixing', 'ghost_rows')","('Delta_r_gauge_restoring',)","('A0', 'B0')",RELATION_SLOT_IMPORTED,NEEDS_GAUGE_CANCELLATION_NUMERIC_AUDIT,True,Denner tadpole/gauge-restoring convention
